"Source","Asset","Team","Asset Name","Asset Type","URI","Detector","Description","Content Class","Exposure window","Ignored","Ignore timestamp","Ignore type","Ignore comment","Snooze end timestamp","Ignore Actor","Severity","Line start","Line end","Fingerprint"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20940","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20940","20941","211abb236e51ea1af1d1cdb1f247d1779ee5ad7c2d322788ec32aacb8019841f"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20814","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20814","20815","e5a4e7dca35c81a7a313c1c6f80e0618578f168e5109f60554fa286f2f3a38bc"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20813","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20813","20814","be3a7317b82d1a1688f13035d1197eb2cfffaaba8aed0a96e7dc8781c6cd69a8"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20811","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20811","20812","bb48d8d1b6917d63e7fedff392fa5f6a1ee8ad1e5031e0bc771e0b147e4bdeb7"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20679","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20679","20680","1b0a167d2c750ea7cc536fd22b75d245ce2f2292849bf9c0069d3eaa95d98574"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20678","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20678","20679","672d6406e52d96d25d701511a5899f6a12fe64ddcd49ecebb7572c9ab4758c7b"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20677","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20677","20678","b88423e9e3d4e136874cadb67071e68139d9225b2f9ab3f9e63d650558756827"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20550","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20550","20551","487a375f413c35831e50b17c457f5c227acae44e4ce50a77f6669580096e1598"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20548","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20548","20549","a40b03284b8b2d26f5e9990bf71bcb758179a1f8f7d1d168bfd151c1f0a405d8"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20547","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20547","20548","95a8665d86ca935a03b725fcf7cbec921bb2dd797ca63cc4f4f54f7cd9d55e5c"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20420","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20420","20421","e568e1acc23d3d934ff0d9352c81f0426f51564ab66836053a40a182e4bbef7d"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20418","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20418","20419","b2b764bdc8abd324e041ac3938dbbf790f7d534cf94cc5349fd10b34979e57c4"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20290","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20290","20291","1bde2c1a67cb3afecf8f30f169b7454f623741e8fb0dd82fef06d557d67275e5"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20289","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20289","20290","89b2670a54c6eadc12f2ca39abceab2b49430900ba81750f830f23afab15e908"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20288","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20288","20289","32b21666f73c26d5bcd278bb4195d56f4d938c0a32a074eff03209d254a1e1c9"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20287","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20287","20288","d9de99489fbeb067bb80f48383a6550939a4086a67c400b9553c55c21b67ec55"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20026","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20026","20027","cdff17716d27b56c344bfd1d23fba7e7b8371d627ae2b3f699531d6a98c2074b"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20025","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20025","20026","a10d2963455b43b8d6800099519198925bb10a4fad680859a9b993130fbe328c"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20024","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20024","20025","b57d3eb1614a65b1032a8922411607f094fcf56291e233c4719b74d13d4312c6"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20023","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20023","20024","0245e268a36134018406f7dad89dde8b7be1a2de51c1816c3e05283ea56b7233"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L19898","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","19898","19899","828d112a2aaccf213cb2f58f2f1aad648f0980808024b395e3812b660369eefc"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L19897","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","19897","19898","c51449ba2045ff79dd6737e8a634a6376923b62bcbce08a6efc7075fb426d05a"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L19896","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","19896","19897","855d3cd09fc0d791e3fb86cdca75f1e24d047fb2c0689c8fec9d437b0e44b79c"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L19771","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","19771","19772","3b796c3703e2643bfb6551bd2d32a07e8056bbd7f788f0d273d1093f4801919f"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L19770","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","19770","19771","f937f6f366eae27717a39f8245dc9d1eff2a924126764004f0be73db0c0cf236"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L19769","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","19769","19770","a002465262f3c2c21178657a2b3a224545fec714c07ffafbe848dc0a95895162"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L19645","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","19645","19646","22e1fa5d84d1e941829d1659b6a26363c5a4be2fa4a9a480713910d39a9c54d4"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L19644","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","19644","19645","49d2e902307ee4fad662ba598180ae9750beaf5b57b5e374aa2ffbf9ec42ab34"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L19643","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","19643","19644","dac7ea2684e96d5f65403e173dd506eadf4679f39780176ddfc87a38a22ed9b6"
